CITY,Total Pop,HL%,HL,PERCENTWIN,TURNOUT,PERCENTWIN NORMALIZED,ELXNYR,DIST,BEFORE
1,249.273,18.94601501,0,33.8,31.8,83.22,2014,0,1
1,1743,89.84509466,1,43.8,14.6,107.84,2014,0,1
1,2169.922,74.72744642,1,37.7,43.5,92.82,2014,0,1
1,3067.192,59.07059617,1,40.5,34.2,99.71,2014,0,1
1,3847.6884,67.88651597,1,32.3,27.1,79.52,2014,0,1
1,1382,40.44862518,0,38.1,17,93.8,2014,0,1
1,1592.4199,21.69490597,0,45.9,45.2,113.01,2014,0,1
1,2598.276,48.55442224,0,38.7,35.2,95.28,2014,0,1
1,897,44.81605351,0,39.8,37.5,97.99,2014,0,1
1,1826.7344,10.42446017,0,44.8,43.8,110.3,2014,0,1
1,2329.3753,33.83343594,0,39.6,33,97.5,2014,0,1
1,2522,49.48453608,0,40.3,36.8,99.22,2014,0,1
1,1511.736,12.72866426,0,44.5,44.9,109.56,2014,0,1
1,2418.8098,63.30511808,1,31.2,33,76.82,2014,0,1
1,2405,25.11434511,0,45,40.7,110.79,2014,0,1
1,922.4513,37.27260182,0,38.4,35.7,94.54,2014,0,1
1,2960.4243,51.32600418,1,38.7,36.8,95.28,2014,0,1
1,2,0,0,0,66.7,0,2014,0,1
1,1199,19.01584654,0,46.1,48.7,113.5,2014,0,1
1,1392.2693,15.54806962,0,50.4,53.3,124.09,2014,0,1
1,1189.7261,10.31655942,0,47.7,53.2,117.44,2014,0,1
1,1305.3221,13.12811604,0,43.7,49,107.59,2014,0,1
1,1365,21.39194139,0,44.2,51.4,108.82,2014,0,1
1,942.3923,11.89296644,0,46.5,52.3,114.48,2014,0,1
1,1433.892,13.1921372,0,44.1,51.2,108.58,2014,0,1
1,1684.88,19.33573904,0,43.1,43.4,106.11,2014,0,1
1,1233.1297,8.050637334,0,46,51.3,113.25,2014,0,1
1,1313.8481,23.24183443,0,40.2,41.7,98.97,2014,0,1
1,1449,72.73982057,1,32.4,41.5,79.77,2014,0,1
1,826.8199,17.20545188,0,42.1,51.2,103.65,2014,0,1
1,1250,13.6,0,45.6,52.7,112.27,2014,0,1
1,1177.2301,10.10238355,0,46.7,55.4,114.98,2014,0,1
1,1242.6789,13.08762062,0,46.3,53.4,113.99,2014,0,1
1,1216.4879,12.45901418,0,42.3,46.9,104.14,2014,0,1
1,1070.5956,22.26629738,0,31.6,35.8,77.8,2014,0,1
1,1135.3562,9.797700493,0,46.5,60.3,114.48,2014,0,1
1,1433.8894,18.1773922,0,47.5,36.3,116.95,2014,0,1
1,1989.9876,12.88726623,0,46.5,51,114.48,2014,0,1
1,1680.9301,16.0368001,0,45.8,43.6,112.76,2014,0,1
1,1573.8753,17.37119199,0,49,39.1,120.64,2014,0,1
1,1829.1564,15.09748428,0,45.4,41.2,111.78,2014,0,1
1,1192.8198,12.52739936,0,42.6,40.2,104.88,2014,0,1
1,2240,37.72321429,0,42.7,47.4,105.13,2014,0,1
1,1751.3984,15.09345903,0,46,38.2,113.25,2014,0,1
1,2988.6337,72.21078649,1,35.3,34,86.91,2014,0,1
1,4699.4677,82.6518714,1,33.9,35.5,83.46,2014,0,1
1,1509,42.87607687,0,42.9,33.6,105.62,2014,0,1
1,2470.0557,66.37428864,1,38.3,33.6,94.3,2014,0,1
1,3845,85.09752926,1,35,29.1,86.17,2014,0,1
1,5697,81.07776022,1,31.8,28.6,78.29,2014,0,1
1,1861.7559,55.93947628,1,40.7,53.6,100.21,2014,0,1
1,4967,77.1693175,1,40.1,35.3,98.73,2014,0,1
1,1613.3764,36.97967195,0,49,41.4,120.64,2014,0,1
1,1879.142,40.99134073,0,39.8,38.4,97.99,2014,0,1
1,2025,49.2345679,0,40.5,34.2,99.71,2014,0,1
1,2587,33.35910321,0,42.2,37.9,103.9,2014,0,1
1,2118,43.81491974,0,40.8,41.9,100.45,2014,0,1
1,1924.1902,41.59353893,0,44,38.2,108.33,2014,0,1
1,1556.6709,46.7881233,0,44.1,42,108.58,2014,0,1
1,2357.2948,66.46365995,1,38.3,36.1,94.3,2014,0,1
1,2855.0554,65.34973017,1,33.6,25,82.72,2014,0,1
1,3156,72.71863118,1,38.5,34.7,94.79,2014,0,1
1,1198,34.55759599,0,40.2,41.4,98.97,2014,0,1
1,3406,76.01291838,1,36.7,31.3,90.36,2014,0,1
1,5285.2305,94.18619491,1,31,24.3,76.32,2014,0,1
1,3265.5062,62.83608342,1,39.5,35,97.25,2014,0,1
1,2549.7695,75.18493338,1,39.3,42.6,96.76,2014,0,1
1,1341.9646,53.72626819,1,39.1,50.8,96.27,2014,0,1
1,2759,60.78289235,1,35.5,36.5,87.4,2014,0,1
1,2901,80.42054464,1,28.2,30.7,69.43,2014,0,1
1,4456.2191,85.30810345,1,34.3,34.8,84.45,2014,0,1
1,2480.816,65.92289392,1,37.2,39.8,91.59,2014,0,1
1,3174,83.30182735,1,32.5,32.2,80.02,2014,0,1
1,2785.207,74.67619821,1,34,31.2,83.71,2014,0,1
1,2195.5521,54.35472016,1,38.1,36.3,93.8,2014,0,1
1,2754,25.67175018,0,37.9,25,93.31,2014,0,1
1,2825,85.45132743,1,34.4,28.9,84.69,2014,0,1
1,2268,50.88183422,1,41.9,42.4,103.16,2014,0,1
1,1321.3796,41.42372109,0,42,42.2,103.41,2014,0,1
1,877,20.86659065,0,45.5,47.3,112.02,2014,0,1
1,2082.9581,32.70288538,0,44.5,40.8,109.56,2014,0,1
1,1277.1589,11.00199043,0,47.3,62.7,116.45,2014,0,1
1,1627.4448,50.44683543,1,35.9,43.9,88.39,2014,0,1
1,752.029,41.94625473,0,40,38,98.48,2014,0,1
1,2226.1535,42.88812519,0,45.2,41.2,111.28,2014,0,1
